Age,Gender,Location,EducationLevel,ClickThroughRate,Impressions,EngagementTime,BounceRate,AdType,ContentTopic,AdSize,PurchaseHistory,BrowsingBehavior,SiteNavigationPatterns,TimeOfDay,DeviceUsed,InternetBrowser
34,Female,Glasgow,Post-secondary,0.7169750729815461,7689,235,0.14143220951443436,Video,Technology,Small,Low,Frequent,Moderate,Afternoon,Desktop,Opera
23,Other,Manchester,Secondary,0.5844829937642724,2068,252,0.8438238909215371,Image,Fashion,Large,None,Frequent,Moderate,Afternoon,Desktop,Firefox
33,Male,Glasgow,Secondary,0.09133379816877518,2955,81,0.5899425367026359,Text,Technology,Medium,High,Frequent,Simple,Night,Mobile,Edge
18,Other,Glasgow,Secondary,0.566261854280033,5836,141,0.7923490214866913,Video,Travel,Medium,None,Rare,Simple,Morning,Desktop,Opera
36,Other,Birmingham,Secondary,0.07923702594059778,7050,243,0.2572190963807842,Video,Fashion,Medium,Low,Frequent,Moderate,Morning,Mobile,Safari
53,Female,Birmingham,Secondary,0.018173019276237823,7262,29,0.6263408324595985,Image,Technology,Small,None,Rare,Complex,Night,Tablet,Firefox
42,Female,London,Post-secondary,0.35259611513765576,7956,169,0.898907590987738,Video,Technology,Medium,Low,Moderate,Moderate,Evening,Desktop,Chrome
47,Female,London,Secondary,0.2405449190638994,7140,124,0.533955490750817,Video,Food,Small,Low,Rare,Moderate,Afternoon,Desktop,Safari
37,Female,Manchester,Post-secondary,0.5946476814330426,6381,270,0.8707340561600945,Image,Fashion,Small,None,Frequent,Moderate,Night,Mobile,Chrome
37,Other,Manchester,Post-secondary,0.9286424880696137,9056,11,0.2180457146282806,Image,Food,Medium,Low,Rare,Moderate,Morning,Mobile,Safari
32,Male,Manchester,Secondary,0.7198520277711921,1792,269,0.9669267000130077,Video,Fashion,Small,Low,Frequent,Simple,Afternoon,Desktop,Opera
57,Male,Manchester,Secondary,0.7673608619709871,7303,253,0.07969248856433797,Video,Food,Small,Low,Moderate,Complex,Night,Mobile,Safari
50,Male,Glasgow,Secondary,0.9508931103706227,3704,86,0.7611083597328594,Video,Technology,Small,Medium,Frequent,Moderate,Morning,Mobile,Firefox
19,Male,London,Post-secondary,0.6340910808965676,3434,134,0.20171882428585908,Image,Travel,Medium,Low,Frequent,Moderate,Morning,Tablet,Safari
27,Female,Manchester,Secondary,0.5777309414098256,9219,169,0.11688770194339293,Text,Food,Large,Medium,Rare,Moderate,Morning,Desktop,Opera
50,Other,Birmingham,Secondary,0.6018679759527085,1341,5,0.5590259315099929,Image,Fashion,Large,None,Frequent,Moderate,Night,Tablet,Edge
49,Female,Glasgow,Secondary,0.8658052565674659,2386,63,0.3170222825992334,Text,Sports,Medium,Medium,Frequent,Moderate,Night,Mobile,Edge
28,Female,London,Post-secondary,0.3880990352069851,3569,211,0.22251995129483693,Image,Sports,Large,Medium,Rare,Complex,Afternoon,Tablet,Firefox
41,Other,Glasgow,Secondary,0.795336225388004,211,59,0.43912328973052506,Text,Food,Medium,Medium,Rare,Simple,Night,Desktop,Chrome
53,Other,Leeds,Secondary,0.6522569349771614,9893,31,0.9884214329976069,Image,Technology,Large,Medium,Frequent,Moderate,Night,Desktop,Edge
29,Other,Manchester,Secondary,0.3045715507819634,701,167,0.6326775584564301,Text,Food,Medium,Medium,Frequent,Simple,Evening,Desktop,Opera
46,Female,Birmingham,Secondary,0.013688410984091681,9875,202,0.2786029655745439,Video,Travel,Medium,None,Rare,Moderate,Evening,Mobile,Opera
52,Male,London,Secondary,0.20991999008691997,6586,131,0.9859022031764596,Video,Fashion,Medium,Medium,Moderate,Simple,Afternoon,Mobile,Opera
18,Female,Glasgow,Secondary,0.6999887646268611,4750,12,0.27916668089676155,Video,Sports,Medium,High,Rare,Simple,Morning,Mobile,Firefox
18,Female,London,Post-secondary,0.5796903097452348,9463,247,0.7196516118981996,Image,Fashion,Small,Low,Rare,Simple,Morning,Tablet,Opera
54,Other,Leeds,Secondary,0.27459469982028606,3457,215,0.26333281453095747,Video,Fashion,Small,None,Frequent,Moderate,Afternoon,Desktop,Firefox
23,Female,Birmingham,Secondary,0.43430247140102396,858,253,0.7743064479265209,Image,Food,Medium,Medium,Rare,Moderate,Night,Tablet,Safari
56,Male,Glasgow,Secondary,0.6611487655814131,5544,162,0.6439841243857556,Image,Technology,Large,High,Rare,Moderate,Afternoon,Desktop,Chrome
58,Male,Leeds,Post-secondary,0.12708614048989697,1592,235,0.5727068625777555,Text,Fashion,Medium,None,Moderate,Moderate,Night,Mobile,Safari
35,Female,Birmingham,Secondary,0.4322795808512164,1808,213,0.4588948742637152,Video,Technology,Small,None,Frequent,Simple,Afternoon,Desktop,Safari
33,Other,Manchester,Post-secondary,0.41662421498197943,1587,55,0.24284325984597044,Video,Travel,Large,Medium,Frequent,Moderate,Afternoon,Mobile,Firefox
22,Female,London,Secondary,0.5426010201202406,8288,264,0.6094272384712242,Video,Travel,Large,Low,Moderate,Complex,Evening,Desktop,Chrome
59,Male,Leeds,Secondary,0.521913680218495,8040,182,0.8743475491172846,Video,Technology,Small,None,Rare,Complex,Morning,Desktop,Safari
60,Male,London,Secondary,0.36772668506784956,2103,95,0.03130541405087395,Image,Food,Medium,High,Moderate,Simple,Afternoon,Tablet,Chrome
49,Female,London,Secondary,0.7627336288125462,3081,167,0.7326697388286103,Text,Food,Small,None,Rare,Moderate,Evening,Mobile,Chrome
19,Male,Leeds,Post-secondary,0.06722903999121377,1444,221,0.8799225351602699,Image,Food,Medium,Low,Rare,Moderate,Afternoon,Tablet,Edge
19,Female,Leeds,Secondary,0.035538472534346055,9845,167,0.6168877802531492,Video,Sports,Small,Low,Moderate,Simple,Morning,Tablet,Firefox
57,Male,Glasgow,Secondary,0.42025933959837536,9739,207,0.2584306324083787,Image,Travel,Medium,High,Frequent,Complex,Afternoon,Mobile,Opera
59,Other,Birmingham,Secondary,0.8966942501708143,5494,70,0.351475059441982,Video,Travel,Medium,High,Frequent,Simple,Morning,Mobile,Opera
53,Male,Manchester,Post-secondary,0.27756935052966913,9630,272,0.7488048209052919,Image,Fashion,Medium,Low,Rare,Moderate,Night,Tablet,Safari
56,Female,Birmingham,Post-secondary,0.17230932469765314,6875,150,0.36682236439769855,Video,Technology,Large,Low,Frequent,Simple,Evening,Desktop,Chrome
29,Female,Manchester,Secondary,0.9282083943293762,6791,42,0.008073156093916567,Text,Sports,Large,Low,Moderate,Complex,Night,Mobile,Chrome
64,Other,Manchester,Secondary,0.16822325458257026,2488,293,0.10551829464223716,Text,Sports,Small,Low,Moderate,Complex,Evening,Mobile,Chrome
36,Male,Glasgow,Secondary,0.3748405367135256,3777,198,0.285340370117794,Text,Fashion,Small,None,Moderate,Complex,Afternoon,Desktop,Chrome
45,Female,Birmingham,Post-secondary,0.7290155103364921,7824,110,0.393169803189385,Image,Technology,Large,Low,Moderate,Moderate,Evening,Tablet,Opera
18,Male,Leeds,Post-secondary,0.2609240084776018,9034,9,0.36432472307178065,Text,Food,Large,Low,Moderate,Moderate,Evening,Tablet,Chrome
32,Other,London,Secondary,0.22984952779368129,8552,243,0.806427721142235,Image,Fashion,Medium,Low,Frequent,Simple,Morning,Tablet,Edge
53,Female,Glasgow,Secondary,0.3976672339315541,7978,214,0.2215827361724947,Image,Food,Small,None,Rare,Complex,Morning,Tablet,Safari
30,Other,Glasgow,Secondary,0.7873648145968252,2369,214,0.410313315633288,Text,Food,Medium,None,Moderate,Simple,Afternoon,Desktop,Safari
60,Female,Glasgow,Post-secondary,0.9109833531625063,2593,169,0.8142268941187296,Text,Food,Small,Medium,Rare,Complex,Morning,Tablet,Edge
38,Male,Leeds,Secondary,0.03129252790977377,2420,242,0.793437280534362,Image,Food,Medium,Low,Rare,Moderate,Night,Tablet,Edge
29,Female,London,Secondary,0.16510812737192027,3534,88,0.2052253062336432,Image,Travel,Large,High,Moderate,Complex,Evening,Tablet,Edge
22,Other,Manchester,Secondary,0.9586012891469076,789,286,0.3640730122648922,Video,Fashion,Large,High,Rare,Simple,Afternoon,Desktop,Opera
24,Female,Leeds,Secondary,0.5927912915489684,124,34,0.15631314954288356,Text,Sports,Medium,High,Frequent,Simple,Night,Desktop,Firefox
22,Other,Birmingham,Secondary,0.5514102691538197,6109,260,0.09009998820237053,Video,Technology,Large,Low,Rare,Complex,Afternoon,Tablet,Chrome
21,Female,Birmingham,Secondary,0.8135436792839946,1644,268,0.5541931862447058,Image,Travel,Medium,None,Rare,Moderate,Morning,Tablet,Chrome
30,Other,Leeds,Post-secondary,0.039783298028444825,9004,95,0.3194922423549149,Text,Fashion,Medium,None,Moderate,Complex,Afternoon,Mobile,Safari
54,Male,Glasgow,Secondary,0.013836251172974823,1732,164,0.513689216526149,Text,Food,Small,None,Frequent,Moderate,Afternoon,Tablet,Firefox
58,Female,Leeds,Secondary,0.9674940497015918,4452,72,0.5879098985780701,Text,Travel,Large,Medium,Moderate,Moderate,Night,Mobile,Safari
32,Male,London,Secondary,0.8285706855726811,5007,265,0.6061922676092604,Text,Technology,Small,Medium,Moderate,Moderate,Afternoon,Mobile,Edge
33,Female,Manchester,Secondary,0.7473817815582686,362,262,0.9407652066938389,Video,Food,Large,None,Frequent,Complex,Afternoon,Desktop,Firefox
38,Female,Manchester,Secondary,0.15570077014486672,9664,81,0.2346492197003105,Text,Fashion,Small,Medium,Moderate,Simple,Evening,Tablet,Opera
53,Male,Manchester,Post-secondary,0.47660392304326005,7732,141,0.8980852932299614,Text,Travel,Medium,Low,Rare,Complex,Morning,Desktop,Opera
41,Other,Manchester,Post-secondary,0.9372935385658475,4505,294,0.05130866183311378,Video,Food,Small,Medium,Frequent,Simple,Evening,Desktop,Edge
33,Male,Glasgow,Secondary,0.9335995956239547,9345,166,0.03038283911238404,Image,Travel,Medium,Medium,Frequent,Simple,Morning,Mobile,Edge
31,Male,Birmingham,Secondary,0.009247106979528796,841,34,0.10876806974633213,Image,Food,Medium,Medium,Moderate,Moderate,Evening,Desktop,Chrome
39,Female,Birmingham,Post-secondary,0.7524914090061574,8423,219,0.6436891470845285,Text,Food,Medium,Medium,Frequent,Simple,Night,Desktop,Safari
23,Other,Leeds,Post-secondary,0.006237766446710369,8388,98,0.5302935174584055,Image,Food,Small,High,Moderate,Complex,Morning,Mobile,Chrome
59,Other,Manchester,Secondary,0.9843017276705566,516,61,0.16212318310708873,Video,Travel,Medium,High,Rare,Complex,Night,Tablet,Chrome
53,Male,Birmingham,Secondary,0.4169672019956985,2418,200,0.14790494742126536,Text,Sports,Large,None,Moderate,Moderate,Afternoon,Desktop,Opera
18,Male,London,Secondary,0.9735187579800997,3014,249,0.5294293084233084,Text,Technology,Small,None,Moderate,Simple,Morning,Desktop,Opera
49,Other,Leeds,Post-secondary,0.3677468090306375,8098,113,0.9590058987642642,Image,Travel,Large,Low,Frequent,Simple,Evening,Mobile,Safari
23,Male,Glasgow,Secondary,0.2931872905734214,7625,274,0.18273000593743582,Video,Fashion,Small,Medium,Frequent,Simple,Evening,Mobile,Edge
48,Female,Birmingham,Post-secondary,0.3162919638346049,1959,95,0.25912951022509767,Video,Technology,Medium,None,Moderate,Complex,Night,Mobile,Safari
18,Female,Manchester,Secondary,0.7306790666385901,3057,177,0.12058329235131116,Video,Technology,Small,Medium,Rare,Moderate,Evening,Desktop,Safari
54,Male,Glasgow,Secondary,0.19967283393019697,8182,29,0.5946018436715242,Video,Food,Medium,None,Moderate,Complex,Night,Desktop,Safari
52,Female,London,Secondary,0.8640576917926507,3462,181,0.9267692898592671,Text,Fashion,Small,None,Rare,Moderate,Afternoon,Mobile,Chrome
47,Other,London,Secondary,0.5905726936267424,9926,158,0.23801514139715152,Text,Travel,Large,Medium,Moderate,Complex,Evening,Tablet,Edge
21,Male,London,Post-secondary,0.9699110259492697,1622,193,0.47242126318133415,Text,Food,Medium,None,Frequent,Simple,Morning,Mobile,Safari
52,Female,Glasgow,Secondary,0.9870849034861486,8744,36,0.9076145585613595,Video,Fashion,Medium,Low,Rare,Complex,Night,Tablet,Chrome
60,Male,Birmingham,Secondary,0.18518200130214535,6831,20,0.7082831405747101,Video,Fashion,Medium,Low,Moderate,Simple,Afternoon,Tablet,Edge
31,Other,Birmingham,Post-secondary,0.9557820535760178,3065,219,0.5282866634645071,Video,Technology,Medium,Low,Rare,Moderate,Afternoon,Tablet,Edge
57,Female,Manchester,Secondary,0.046538486379183674,6357,144,0.6393067680449909,Video,Fashion,Large,Low,Rare,Complex,Evening,Mobile,Chrome
39,Other,Glasgow,Post-secondary,0.02786372412310567,6455,150,0.7308395702343208,Image,Sports,Medium,Low,Moderate,Moderate,Night,Desktop,Opera
27,Male,Birmingham,Secondary,0.9438645773285519,9150,289,0.7284784520843665,Image,Fashion,Large,Medium,Rare,Moderate,Afternoon,Desktop,Safari
18,Male,Leeds,Secondary,0.9623967374499934,1836,132,0.4849771083474669,Text,Sports,Medium,High,Moderate,Moderate,Morning,Desktop,Firefox
28,Female,Manchester,Secondary,0.14724767267198968,3634,281,0.28147599380304045,Image,Food,Large,Low,Moderate,Complex,Evening,Desktop,Opera
61,Other,Birmingham,Secondary,0.4424158153889981,206,41,0.20617459289731566,Text,Travel,Small,Medium,Rare,Simple,Evening,Tablet,Edge
41,Male,Leeds,Post-secondary,0.4940925279881825,8757,269,0.91861387766964,Image,Travel,Medium,Medium,Moderate,Simple,Night,Tablet,Firefox
20,Other,Manchester,Secondary,0.8602812365183045,1348,266,0.05824669632752277,Video,Sports,Small,None,Frequent,Moderate,Afternoon,Tablet,Safari
52,Other,London,Secondary,0.627917243196169,4719,35,0.33707314042002723,Text,Technology,Medium,Low,Rare,Simple,Night,Tablet,Chrome
53,Female,London,Secondary,0.7745664242016155,5836,193,0.6900501377623072,Image,Travel,Large,None,Frequent,Simple,Morning,Tablet,Edge
48,Other,Leeds,Secondary,0.48509684543129095,8614,180,0.6000690273037246,Video,Fashion,Medium,Medium,Frequent,Simple,Night,Tablet,Edge
21,Male,London,Secondary,0.6484137022418283,8020,7,0.433218600143492,Video,Travel,Small,High,Frequent,Complex,Evening,Mobile,Opera
36,Male,Leeds,Post-secondary,0.7354093600258587,890,217,0.10423286586503788,Image,Food,Large,None,Frequent,Moderate,Afternoon,Mobile,Firefox
64,Female,Manchester,Post-secondary,0.7378812839173013,6440,195,0.1395280512590752,Text,Fashion,Large,Low,Frequent,Complex,Afternoon,Tablet,Chrome
53,Other,Birmingham,Secondary,0.0017378267846723805,6030,38,0.6965228727169696,Image,Food,Small,High,Frequent,Moderate,Afternoon,Desktop,Opera
38,Male,Manchester,Secondary,0.09990807373006061,2335,299,0.4836966144693602,Text,Travel,Small,None,Moderate,Simple,Night,Mobile,Firefox
35,Male,Leeds,Post-secondary,0.363660441104416,7605,85,0.3395507309511038,Text,Technology,Large,Medium,Moderate,Moderate,Afternoon,Tablet,Opera
45,Female,Glasgow,Secondary,0.0611974471035418,7115,280,0.3747935310826417,Video,Fashion,Large,Medium,Rare,Complex,Evening,Mobile,Firefox
32,Other,Glasgow,Secondary,0.382989702367717,8497,169,0.4286859808129494,Video,Food,Small,Medium,Frequent,Simple,Afternoon,Mobile,Firefox
59,Other,Leeds,Secondary,0.38956684847219225,4039,276,0.6830566188960165,Text,Sports,Medium,High,Moderate,Complex,Night,Mobile,Safari
19,Other,London,Secondary,0.9202335372777397,8149,170,0.6009477895248134,Text,Food,Small,None,Frequent,Simple,Night,Tablet,Safari
54,Male,Leeds,Post-secondary,0.5670718548946909,5726,123,0.07048297949781201,Text,Sports,Small,Low,Rare,Moderate,Night,Desktop,Edge
28,Male,Birmingham,Secondary,0.7063512805336583,1041,271,0.15747785907740697,Text,Sports,Medium,None,Moderate,Moderate,Morning,Desktop,Firefox
40,Female,Manchester,Post-secondary,0.8871986820862284,4503,238,0.07055568692234615,Text,Technology,Medium,Medium,Moderate,Complex,Night,Mobile,Firefox
61,Male,Leeds,Secondary,0.4421293206493173,2486,152,0.03459012575426679,Image,Sports,Large,High,Moderate,Complex,Night,Mobile,Firefox
58,Female,Birmingham,Secondary,0.0019621445973821983,1019,186,0.7760049179450405,Image,Fashion,Medium,None,Frequent,Simple,Evening,Desktop,Safari
29,Female,Glasgow,Secondary,0.28533602462541374,3438,270,0.8509589076629858,Image,Travel,Small,High,Frequent,Simple,Evening,Desktop,Opera
20,Other,Leeds,Post-secondary,0.8141587000374869,4017,78,0.4161778322261164,Text,Food,Large,Low,Moderate,Moderate,Afternoon,Tablet,Firefox
34,Female,London,Secondary,0.9018411698000748,6199,162,0.9688407845223875,Image,Fashion,Small,Medium,Frequent,Moderate,Night,Tablet,Opera
50,Other,Leeds,Post-secondary,0.35150958111822106,1264,70,0.863597702236331,Text,Sports,Medium,High,Rare,Moderate,Evening,Desktop,Opera
18,Other,Glasgow,Secondary,0.2939912529790484,7276,88,0.8603850438750796,Video,Fashion,Small,High,Moderate,Moderate,Evening,Mobile,Safari
56,Male,Birmingham,Secondary,0.9245052110687334,2135,101,0.36718439993293683,Text,Fashion,Medium,High,Moderate,Simple,Morning,Tablet,Safari
37,Male,Leeds,Post-secondary,0.35107373598278,3041,63,0.9543471631043495,Video,Technology,Large,Low,Frequent,Simple,Morning,Tablet,Edge
64,Female,Leeds,Secondary,0.6522451880766583,4970,163,0.7489298456338638,Video,Sports,Small,Low,Frequent,Moderate,Afternoon,Tablet,Firefox
60,Female,London,Secondary,0.2803092350505634,1539,297,0.35369242910772447,Video,Fashion,Medium,None,Rare,Simple,Evening,Desktop,Opera
58,Female,Leeds,Post-secondary,0.0979187987907415,9179,173,0.8888328939449607,Image,Food,Medium,Medium,Moderate,Moderate,Night,Desktop,Safari
31,Female,Manchester,Secondary,0.5012363117860135,8953,133,0.004112299965128852,Text,Technology,Large,Low,Rare,Simple,Afternoon,Desktop,Safari
48,Male,Leeds,Secondary,0.9232318371181676,369,37,0.571591041233883,Text,Fashion,Small,Medium,Rare,Moderate,Evening,Tablet,Opera
42,Female,Birmingham,Secondary,0.618640753927305,7595,22,0.5201727930021924,Image,Food,Medium,Medium,Moderate,Moderate,Night,Mobile,Firefox
20,Other,Manchester,Secondary,0.20882662478373437,1425,268,0.0817899405302619,Text,Food,Large,None,Rare,Simple,Night,Tablet,Edge
21,Male,London,Post-secondary,0.682429573367613,640,149,0.8623564895026867,Video,Sports,Small,None,Moderate,Moderate,Afternoon,Mobile,Safari
48,Other,Birmingham,Secondary,0.7683611440976326,9633,132,0.28171116761250015,Text,Fashion,Small,High,Frequent,Complex,Morning,Tablet,Chrome
52,Female,London,Post-secondary,0.32076056191495883,4606,35,0.37635007945304866,Image,Sports,Medium,None,Moderate,Simple,Night,Mobile,Edge
61,Male,Leeds,Secondary,0.5592094014310386,406,291,0.47515341442940906,Image,Food,Large,Medium,Frequent,Complex,Morning,Desktop,Edge
31,Other,Leeds,Secondary,0.6819531314673225,9843,206,0.8169348304723988,Text,Fashion,Small,Medium,Frequent,Complex,Night,Desktop,Firefox
58,Male,Leeds,Post-secondary,0.16035314538048817,8210,153,0.5949380307729589,Text,Sports,Small,Medium,Frequent,Moderate,Afternoon,Mobile,Safari
26,Other,Glasgow,Secondary,0.9641009397724625,9425,190,0.5639572035274568,Image,Sports,Small,None,Rare,Simple,Evening,Mobile,Safari
37,Male,Glasgow,Secondary,0.4512519614498419,7037,209,0.36237757592558917,Image,Travel,Medium,Medium,Rare,Moderate,Afternoon,Mobile,Safari
49,Other,Glasgow,Post-secondary,0.9796643904720663,5750,276,0.27968467179171963,Video,Technology,Large,None,Frequent,Moderate,Afternoon,Mobile,Firefox
26,Other,Manchester,Secondary,0.1895738658444951,5114,218,0.4781202319371778,Image,Food,Medium,Medium,Rare,Moderate,Night,Mobile,Firefox
44,Other,Glasgow,Post-secondary,0.4837735463096444,7727,175,0.2557335320315858,Video,Food,Medium,High,Rare,Simple,Afternoon,Tablet,Safari
20,Male,Leeds,Secondary,0.1658536536758377,2826,171,0.3395114382042821,Text,Sports,Large,High,Moderate,Moderate,Morning,Mobile,Safari
21,Other,Leeds,Secondary,0.010180822383938692,7509,144,0.4403763349468267,Text,Food,Small,Low,Moderate,Simple,Afternoon,Tablet,Safari
62,Other,London,Secondary,0.23787517257520274,8826,247,0.8435008643936305,Text,Food,Medium,None,Frequent,Moderate,Evening,Tablet,Edge
32,Female,Birmingham,Post-secondary,0.4031873370680834,5857,90,0.9305106167465388,Image,Fashion,Medium,Low,Moderate,Moderate,Morning,Desktop,Opera
50,Other,Birmingham,Secondary,0.4311307377242357,4005,123,0.829741369555985,Video,Travel,Medium,High,Frequent,Complex,Night,Desktop,Opera
22,Female,Manchester,Post-secondary,0.8865051551042046,7166,112,0.5256997148931065,Text,Fashion,Small,High,Rare,Simple,Afternoon,Desktop,Firefox
21,Male,Birmingham,Post-secondary,0.6356772638808419,4867,278,0.7115572532942754,Text,Fashion,Large,High,Rare,Complex,Night,Tablet,Firefox
63,Other,Manchester,Secondary,0.4344416552185302,6135,154,0.33520860921068674,Image,Food,Medium,None,Frequent,Simple,Afternoon,Desktop,Opera
29,Male,London,Secondary,0.9879976996098128,1057,263,0.4591969225542821,Video,Food,Small,Low,Rare,Simple,Night,Desktop,Safari
40,Female,Leeds,Secondary,0.6142243316266857,7791,63,0.9404896563472046,Video,Food,Large,None,Moderate,Complex,Night,Mobile,Safari
31,Female,Leeds,Secondary,0.3226629649849716,6623,53,0.3549474799949155,Video,Fashion,Large,Medium,Moderate,Simple,Night,Desktop,Edge
63,Male,Manchester,Post-secondary,0.6913108812107946,1309,46,0.172985677257379,Video,Fashion,Small,None,Frequent,Simple,Morning,Desktop,Chrome
29,Other,Glasgow,Secondary,0.4956999226830051,2933,290,0.472094057017978,Image,Travel,Small,None,Moderate,Simple,Afternoon,Tablet,Edge
34,Male,London,Secondary,0.8811676940681722,5324,222,0.6525916187915881,Text,Sports,Large,Medium,Moderate,Complex,Morning,Desktop,Edge
42,Female,Leeds,Secondary,0.8965112620633212,5999,81,0.12651425980849584,Image,Fashion,Small,Low,Rare,Moderate,Morning,Desktop,Safari
47,Female,Leeds,Secondary,0.3673504001211696,7816,54,0.1221014186726106,Video,Food,Medium,None,Frequent,Simple,Night,Tablet,Edge
39,Other,London,Secondary,0.5623390508601441,9521,180,0.30369489093940005,Text,Fashion,Large,Low,Frequent,Moderate,Afternoon,Desktop,Firefox
64,Female,Manchester,Post-secondary,0.26577344404630543,4460,122,0.9076491013983337,Text,Technology,Medium,None,Rare,Moderate,Evening,Tablet,Chrome
43,Other,Glasgow,Secondary,0.62663675174255,419,43,0.6746038509929627,Video,Fashion,Medium,High,Frequent,Simple,Night,Tablet,Edge
34,Other,Manchester,Post-secondary,0.9923469623196748,6218,86,0.22193415638011005,Image,Fashion,Large,None,Rare,Simple,Afternoon,Mobile,Firefox
37,Other,London,Secondary,0.8325885178221839,5965,162,0.6034875606219187,Text,Technology,Large,Low,Frequent,Moderate,Evening,Mobile,Firefox
51,Female,Birmingham,Secondary,0.3664099003028253,8376,211,0.660239833811912,Text,Travel,Large,Low,Frequent,Moderate,Evening,Tablet,Firefox
58,Male,Manchester,Post-secondary,0.09538035199349248,8735,169,0.5230546799078449,Video,Fashion,Medium,Low,Frequent,Complex,Morning,Mobile,Edge
50,Male,Birmingham,Secondary,0.9666819873735142,3211,182,0.7593824605373287,Image,Technology,Medium,Low,Rare,Complex,Evening,Tablet,Chrome
54,Female,London,Secondary,0.38958477867772023,6710,84,0.024738988659156913,Video,Technology,Medium,Medium,Rare,Simple,Morning,Desktop,Safari
